<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMBV4.SA,D,20000906,000000,76.0400,79.6000,75.2500,79.6000,7300,0
AMBV4.SA,D,20000907,000000,79.6000,79.6000,79.6000,79.6000,0,0
AMBV4.SA,D,20000908,000000,76.0400,76.0400,75.6400,75.6400,13800,0
AMBV4.SA,D,20000911,000000,76.0400,76.0400,75.6400,75.6400,4200,0
AMBV4.SA,D,20000912,000000,75.2500,75.2500,75.2500,75.2500,200,0
AMBV4.SA,D,20000913,000000,76.0400,77.2300,76.0400,76.0400,0,0
AMBV4.SA,D,20000914,000000,75.8400,77.2300,75.8400,77.2300,10300,0
AMBV4.SA,D,20000915,000000,77.1500,80.0000,77.1500,79.2100,1192000,0
AMBV4.SA,D,20000918,000000,79.0500,80.4000,78.4200,79.3300,453900,0
AMBV4.SA,D,20000919,000000,79.2100,79.9600,77.8200,79.9600,347600,0
AMBV4.SA,D,20000920,000000,79.2100,79.2100,77.0300,77.6200,467800,0
AMBV4.SA,D,20000921,000000,77.6200,80.0000,77.6200,78.4200,407500,0
AMBV4.SA,D,20000922,000000,76.4400,78.4200,76.4400,76.8300,568300,0
AMBV4.SA,D,20000925,000000,77.2300,78.7300,77.2300,78.0200,283500,0
AMBV4.SA,D,20000926,000000,78.0200,82.3800,78.0200,80.7500,429700,0
AMBV4.SA,D,20000927,000000,80.7500,80.9900,78.8100,79.2100,715500,0
AMBV4.SA,D,20000928,000000,79.2100,80.7900,79.2100,80.4000,531500,0
AMBV4.SA,D,20000929,000000,80.7900,85.5400,79.2500,80.4000,1992400,0
AMBV4.SA,D,20001002,000000,80.4000,82.0000,80.0000,80.6300,400700,0
AMBV4.SA,D,20001003,000000,81.5900,83.3700,81.5900,83.1700,644800,0
AMBV4.SA,D,20001004,000000,83.5600,87.1300,83.3700,85.9400,749100,0
